time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2019-01-01 00:00:00+00:00,2.64,78.27,0.0,-0.0,0.0,260.15,1.38,355.0,101301.0
2019-01-01 01:00:00+00:00,2.29,77.21,0.0,-0.0,0.0,255.94,1.53,355.0,101301.0
2019-01-01 02:00:00+00:00,1.95,76.15,0.0,-0.0,0.0,251.74,1.67,355.0,101301.0
2019-01-01 03:00:00+00:00,1.6,75.09,0.0,-0.0,0.0,247.53,1.81,355.0,101271.0
2019-01-01 04:00:00+00:00,1.25,74.04,0.0,-0.0,0.0,243.33,1.95,355.0,101242.0
2019-01-01 05:00:00+00:00,0.91,72.98,0.0,-0.0,0.0,239.12,2.1,355.0,101261.0
2019-01-01 06:00:00+00:00,0.56,71.92,0.0,-0.0,0.0,234.92,2.24,354.0,101271.0
2019-01-01 07:00:00+00:00,0.22,70.86,20.0,0.0,20.0,230.71,2.38,355.0,101320.0
2019-01-01 08:00:00+00:00,1.44,73.45,187.0,639.73,53.0,231.4,1.59,347.0,101340.0
2019-01-01 09:00:00+00:00,4.43,62.1,314.0,777.96,66.0,233.2,1.45,346.0,101350.0
2019-01-01 10:00:00+00:00,5.86,55.9,396.0,831.71,73.0,238.0,1.86,351.0,101261.0
2019-01-01 11:00:00+00:00,6.98,51.8,428.0,863.48,71.0,243.2,1.86,358.0,101251.0
2019-01-01 12:00:00+00:00,7.84,49.0,398.0,815.63,78.0,246.2,1.79,357.0,101202.0
2019-01-01 13:00:00+00:00,8.25,48.25,312.0,710.62,80.0,249.0,1.59,354.0,101133.0
2019-01-01 14:00:00+00:00,8.08,52.45,197.0,644.44,55.0,250.0,1.24,336.0,101093.0
2019-01-01 15:00:00+00:00,7.0,61.65,49.0,271.0,27.0,252.2,1.1,312.0,101064.0
2019-01-01 16:00:00+00:00,5.34,71.7,0.0,-0.0,0.0,254.2,1.03,322.0,101084.0
2019-01-01 17:00:00+00:00,3.79,78.35,0.0,-0.0,0.0,255.0,0.97,345.0,101074.0
2019-01-01 18:00:00+00:00,3.55,74.8,0.0,-0.0,0.0,257.0,0.9,19.0,101074.0
2019-01-01 19:00:00+00:00,1.88,78.4,0.0,-0.0,0.0,239.6,1.1,56.0,101014.0
2019-01-01 20:00:00+00:00,0.88,80.6,0.0,-0.0,0.0,237.2,1.17,74.0,100965.0
2019-01-01 21:00:00+00:00,0.01,82.6,0.0,-0.0,0.0,236.8,1.24,74.0,100906.0
2019-01-01 22:00:00+00:00,-0.47,82.4,0.0,-0.0,0.0,236.6,1.31,81.0,100876.0
2019-01-01 23:00:00+00:00,-0.43,79.1,0.0,-0.0,0.0,236.6,1.38,86.0,100748.0
2019-01-02 00:00:00+00:00,-0.04,74.65,0.0,-0.0,0.0,237.0,1.24,90.0,100718.0
2019-01-02 01:00:00+00:00,0.67,69.3,0.0,-0.0,0.0,237.2,1.1,100.0,100669.0
2019-01-02 02:00:00+00:00,1.74,63.25,0.0,-0.0,0.0,237.0,0.9,106.0,100610.0
2019-01-02 03:00:00+00:00,2.4,60.2,0.0,-0.0,0.0,237.4,0.83,94.0,100531.0
2019-01-02 04:00:00+00:00,2.11,62.05,0.0,-0.0,0.0,245.6,0.83,77.0,100472.0
2019-01-02 05:00:00+00:00,1.87,64.15,0.0,-0.0,0.0,255.6,0.83,69.0,100402.0
